source,target
32769,11308
32769,24026
32770,2668
32770,4920
32770,10416
32770,17939
32770,32291
32770,51401
32771,220
32771,18352
32771,54064
32771,21500
32771,24172
32771,24759
32771,20899
32776,11586
32776,16661
32776,22180
32783,40766
32784,7637
32797,31596
32797,48592
32799,4434
32799,5171
32799,8076
32799,20255
32799,34011
32799,48336
32799,54389
34,18526
34,13476
34,31688
34,42162
34,31459
34,46355
34,26894
34,14371
34,12701
34,25274
34,24688
32807,6955
32807,11139
32807,11477
32808,48234
43,1843
43,29440
43,6478
43,36387
47,29537
52,15554
52,39451
52,32495
58,8678
58,20511
58,54481
32827,8952
32827,24178
32827,26415
32827,34629
32829,6860
32829,17664
32829,21228
61,41928
32836,10838
32836,11782
32836,24455
73,35542
32843,2998
32843,50026
32843,52249
32843,36553
32843,38342
77,9147
77,51481
32856,27641
32856,46665
89,51213
89,40041
89,18088
89,33169
89,27625
89,46433
91,36453
91,46145
91,10826
91,12869
91,50686
91,6955
91,23332
100,19853
100,38050
100,459
100,28421
100,37929
100,50798
32869,5930
32869,29137
32869,54397
32871,9476
32871,15408
32871,35768
32872,6711
32872,10760
32872,47378
106,8830
106,28713
106,20966
106,29647
106,51651
106,30053
106,8156
106,42671
106,20481
106,19809
106,42216
106,648
106,3002
106,23217
114,30025
32885,35897
32887,49297
124,15957
143,6491
32912,3778
144,22311
144,4510
144,3329
144,33150
144,34552
144,46216
147,10882
147,54068
147,49194
147,15027
147,25475
147,39435
147,51273
32921,12226
32921,12604
32921,18770
32921,48499
32921,44231
32921,18799
155,22877
155,5458
155,5040
32925,5930
32925,45996
32925,31427
32925,54235
32925,35388
157,27057
157,43156
159,36917
159,3277
159,35451
160,9519
160,11291
160,49779
170,27460
170,38678
170,53931
32938,8454
32938,11515
32938,14233
32938,11667
32938,33001
171,16912
171,5357
171,47672
32942,14679
32942,14796
32942,40987
32942,40074
32942,51213
187,47810
191,6224
191,8976
191,33985
191,29613
197,5635
197,26713
197,30462
32966,1936
32966,27220
32966,35838
32968,48820
32968,36268
32968,42533
32969,7859
32969,47986
32969,49019
32969,20442
32969,35568
32969,37726
200,28569
200,42393
200,17334
211,24217
32979,2663
32979,12521
32979,51279
32979,37435
32979,46029
32979,53284
32984,1995
32984,16647
32984,43677
220,27431
226,42216
226,38618
226,23100
226,6176
226,27251
226,35286
226,40764
226,13890
226,40360
226,23251
226,48060
226,23305
226,26287
32998,33760
33001,40651
33005,11814
33008,4729
33008,38875
33008,19430
33008,30032
33009,9414
33009,21769
33009,30382
33009,48919
33009,38262
244,22392
244,40042
244,40476
244,28481
244,14996
244,14633
33014,46662
33014,29456
33015,43758
33015,9572
33015,17271
33015,20394
33015,48674
33015,35592
258,15960
258,52634
259,3768
33031,31459
263,27695
263,25473
263,23777
263,52136
263,15695
33033,4167
33033,16019
33033,22023
33033,24757
33033,34917
33033,51085
33033,38342
268,19718
268,23845
33037,8036
33037,11639
33037,12495
33037,13081
33037,41126
33037,20152
33037,25213
33037,47122
33037,47627
33037,44649
33038,1265
33038,10919
33038,44002
33038,44060
272,48947
281,5211
281,9509
281,46475
33050,12988
291,7479
291,52672
33060,48428
293,29396
293,18699
293,26878
293,28138
293,12719
293,33788
293,53050
293,18569
293,10462
293,37657
293,49611
293,50291
293,51411
293,30078
293,49624
293,34403
293,29935
293,16643
293,47839
293,41159
293,40313
293,16773
293,33958
293,19711
298,33305
298,28017
298,6867
310,30330
310,4366
310,8742
310,752
310,46809
310,54035
310,20437
310,666
310,22491
311,38890
311,29510
33091,26963
33091,7630
33091,5637
33091,21691
33091,42656
323,21354
33093,11008
33093,13352
33093,21790
33093,53615
33093,50543
33104,52775
33107,37571
33107,40454
33107,41533
33114,12700
33114,20602
33114,51049
346,45049
346,46489
33117,555
33117,2392
33117,15014
33117,44278
33117,52365
33119,558
33119,36310
33119,26827
33119,34600
33119,33704
355,39056
356,14293
356,14122
360,17813
360,5647
361,45255
361,51338
361,40438
361,12151
33130,8394
33133,1408
33133,54079
33133,41923
371,37832
371,14679
371,45503
371,40154
373,32470
373,29810
373,51418
373,19713
373,28202
373,6516
373,14452
33142,15739
33142,24586
33142,27572
33142,23023
377,25368
377,27914
33150,33536
33158,12562
33158,23587
33158,31146
33158,46869
33162,1103
33162,2149
33162,24072
33162,10919
33162,16140
33162,21897
33162,49259
33162,31965
33162,34066
33162,45834
33162,50829
33162,27020
33162,35909
394,2497
394,17101
394,29218
33166,24476
33166,26906
33166,33348
33169,1705
33169,5816
33169,24185
33169,27411
33169,27625
33169,8893
33169,45318
33169,10681
33169,40074
33169,47623
401,50576
401,49643
401,50862
401,5701
403,42916
404,8885
404,24596
404,12109
404,30467
404,38981
402,2536
402,30340
402,6051
402,38897
402,31888
402,13289
402,47631
402,9237
402,33238
33181,3600
33181,10150
33181,12542
33182,25092
33182,51201
33182,51049
33182,53170
33182,41582
33189,5736
33189,7014
33189,47920
33189,21273
33189,22591
33195,48674
33195,26170
33195,33928
428,27603
428,41578
428,2896
33197,10424
33197,13281
33197,40057
33197,51339
33197,50658
33201,1151
33201,7288
33201,34832
442,1186
442,4228
442,12060
442,17450
442,37710
442,31683
442,20365
442,26236
442,45435
442,30185
442,48314
33211,8976
33211,16872
33211,32192
33212,47399
444,35685
33214,50488
33214,34064
33222,13289
33222,41435
33222,33664
33226,6911
33226,8582
33226,8925
33226,15059
33226,19568
459,2024
459,37929
459,28421
459,30553
459,50798
459,25279
33228,9131
33228,11797
462,32269
462,19804
33230,46763
33230,12804
33230,18553
33230,40693
33230,42226
33230,34185
464,15985
464,47511
33238,46637
33238,33489
474,25929
474,20071
474,34959
474,47782
474,29376
474,23100
474,33659
474,36534
33244,1908
33244,25304
33244,28729
33250,9067
485,2187
485,39739
485,29942
485,41746
485,43797
33255,35999
33255,7396
33255,7463
33255,18736
33255,28224
33255,30746
33255,38983
33260,29411
33260,42373
496,17248
33270,3619
33270,43372
33270,43443
33270,33837
501,5916
501,34511
501,53038
501,11959
501,27915
501,30164
501,39677
515,52003
515,48436
520,14756
33291,35683
33294,8952
33294,20423
33294,45348
33294,30081
33294,44454
33299,16737
33299,11831
33299,48087
33299,40264
532,11688
33301,17052
33302,28808
33302,15739
33305,2501
33305,13367
33305,14929
545,7392
545,29437
545,42049
33313,30266
33313,33825
33315,1920
551,50709
551,2105
551,22180
551,48110
33320,45512
33320,51070
555,26835
555,22488
555,13308
555,44989
555,17428
555,52146
555,16643
555,19043
555,42216
555,14218
555,4649
558,27891
558,29440
558,9441
558,22667
558,48674
558,13359
558,37486
558,46355
558,39524
558,24116
558,25274
558,44057
561,9153
561,10542
564,35381
566,4540
566,10200
566,31019
33340,24189
33340,24507
33340,38497
33340,34110
574,7479
574,37817
574,40409
574,16859
574,7397
574,16142
574,49773
33344,870
33344,24076
33344,33958
33348,6658
33348,24476
33348,26906
33348,8122
586,48415
33354,11455
33356,28920
590,38331
590,39059
33374,25101
33374,37276
626,51821
636,39597
636,47356
638,7848
638,14309
638,36238
638,46445
638,32162
638,11525
638,47845
639,19002
33408,1784
33408,31702
33408,34356
648,20423
648,23217
648,14639
648,40360
648,29678
648,38495
33417,8065
33417,9237
33417,22135
33417,42566
664,2668
664,48625
666,8830
666,39790
666,19163
666,35539
666,46809
666,50879
666,40724
666,46759
666,29536
667,7209
667,45904
667,22624
667,5217
667,39045
667,30915
667,29125
675,32263
682,32077
33454,9114
33454,29883
33454,43713
33454,41107
33454,45313
686,40057
686,8096
686,50899
33460,3339
33460,15120
33460,43313
696,30738
697,37946
33466,2537
33466,32710
33466,41286
33468,17161
33468,34697
33472,11770
33472,14770
33472,32623
33479,43313
715,14820
33483,49358
717,39060
33485,8650
33485,15620
33485,16376
33485,31459
720,44352
33489,2501
33489,3899
33489,6867
33489,10369
33489,15324
33489,15590
33489,47587
33489,38789
33489,28017
33491,39479
33491,42545
33491,43797
33491,49335
724,3515
724,6983
724,49624
724,39766
724,26388
724,34171
723,30134
723,11028
723,30651
723,2980
723,50333
723,43020
723,33946
33495,6847
33495,42057
33496,50620
33496,14697
33496,24042
33496,31470
730,20073
33499,51633
33499,54394
33499,37761
33499,46875
33499,40718
33499,39435
733,26382
33506,28852
33510,37999
33510,26272
745,14878
33513,28289
33513,50254
33513,22000
33513,26202
33513,39524
33513,44244
33513,51472
752,9486
752,46278
752,48171
33520,18387
33520,44625
755,46179
755,19597
755,38847
33524,10981
33524,11405
33524,26415
33524,38100
33524,52622
33524,8982
33524,33568
33527,5011
33527,7984
33527,15112
33527,29200
33527,42502
760,48584
760,49880
33534,2024
33534,6242
33534,28384
33534,30372
33534,31108
33534,21699
33534,29885
33534,29634
33534,51246
33536,3098
33536,17496
33536,50218
33538,28943
33538,30185
33538,30828
33541,5203
33541,9508
33541,27270
33541,22525
33541,44663
33543,4105
33543,6733
33543,12953
33543,38691
33543,20365
33543,21204
33543,34012
33543,35838
33543,47708
778,46435
778,6790
778,24185
778,40649
778,22000
778,48672
33547,2164
33547,7036
33547,51865
33547,53528
33547,47238
33551,2069
33551,3239
33551,8673
33551,24481
33551,51234
33555,3070
33555,13208
788,41196
799,10892
33568,4846
33568,5091
33568,6732
33568,8223
33568,27854
33568,8586
33568,10981
33568,11103
33568,47851
33568,11405
33568,23370
33568,39501
33568,24592
33568,25992
33568,32574
33568,52038
33568,41523
33568,33915
33568,47552
805,51926
807,15616
807,9154
807,7184
807,47071
807,37448
814,19186
814,31878
814,38701
814,1376
814,13284
33583,19695
33583,26305
816,7594
816,45054
816,45418
816,19311
33590,922
33590,1172
33590,28852
33590,19447
33590,24659
33590,39793
33592,47025
33593,1843
33593,3386
33593,6176
33593,8830
33593,7028
33593,27516
33593,34296
33593,12593
33593,49834
33593,38495
33593,41365
33594,3778
33594,52129
33594,7445
33594,8052
33594,37230
33594,17439
33594,25566
33594,25770
33594,27880
33594,29994
33594,50851
33594,21575
33594,53146
33594,40395
33594,37506
33594,35347
33594,34803
830,20506
830,16977
830,40022
830,33697
830,5026
830,23890
830,10380
830,19711
830,5578
830,37193
830,39720
33602,8760
835,15112
844,48997
844,30299
844,50530
844,52825
844,16393
33622,5647
33622,28454
33622,31785
33622,9384
33622,53904
33622,44673
870,23197
871,49481
871,16859
33645,4333
33645,8648
33645,12421
33645,13574
33645,2178
33653,10977
33653,29994
33654,3854
33654,19972
33654,21519
33659,8952
33659,15017
33659,11641
33659,40360
33659,31333
33659,41655
33659,34993
33659,49957
33659,43659
33659,36986
33659,46438
893,45313
33664,10108
33670,4155
33670,4915
33670,11308
33670,45073
913,49844
913,20248
913,11455
913,15945
33688,9092
33688,22316
922,42795
922,20925
922,43384
922,39793
922,45705
33704,3334
33704,5694
33704,13311
33704,15990
33704,17314
33704,21511
33704,39101
33704,42925
33705,29941
33705,37927
33718,7348
33718,9672
33721,7036
33721,50333
956,6270
956,7637
956,22285
33727,20476
33727,34023
960,52035
960,41145
33736,5131
33736,54367
33736,27625
33736,48637
972,52551
972,1762
972,13771
972,32017
972,37756
972,23749
972,15913
972,19053
972,30536
972,19664
33742,29862
989,5168
989,27564
996,45928
33769,2523
33769,14964
33769,15091
33769,18566
33769,31205
33769,22075
33769,34299
